"","CD.State","Num.per.1000","Region","Per100"
"207","MD8",808,"Congressional District",80.8
"208","ME1",484,"Congressional District",48.4
"209","ME2",654,"Congressional District",65.4
"210","MI1",6755,"Congressional District",675.5
"211","MI10",5794,"Congressional District",579.4
"212","MI11",3410,"Congressional District",341
"213","MI12",6151,"Congressional District",615.1
"214","MI13",9862,"Congressional District",986.2
"215","MI14",5885,"Congressional District",588.5
"216","MI2",4675,"Congressional District",467.5
"217","MI3",6015,"Congressional District",601.5
"218","MI4",6609,"Congressional District",660.9
"219","MI5",6577,"Congressional District",657.7
"220","MI6",7287,"Congressional District",728.7
"221","MI7",8615,"Congressional District",861.5
"222","MI8",3271,"Congressional District",327.1
"223","MI9",1986,"Congressional District",198.6
"224","MN1",347,"Congressional District",34.7
"225","MN2",542,"Congressional District",54.2
"226","MN3",161,"Congressional District",16.1
"227","MN5",87,"Congressional District",8.7
"228","MN6",1212,"Congressional District",121.2
"229","MN7",641,"Congressional District",64.1
"230","MN8",467,"Congressional District",46.7
"231","MO1",1219,"Congressional District",121.9
"232","MO2",1666,"Congressional District",166.6
"233","MO3",3916,"Congressional District",391.6
"234","MO4",3577,"Congressional District",357.7
"235","MO5",1345,"Congressional District",134.5
"236","MO6",2673,"Congressional District",267.3
"237","MO7",2625,"Congressional District",262.5
"238","MO8",3938,"Congressional District",393.8
"239","MP0",6371,"Congressional District",637.1
"240","MS1",630,"Congressional District",63
"241","MS2",1002,"Congressional District",100.2
"242","MS3",632,"Congressional District",63.2
"243","MS4",563,"Congressional District",56.3
"244","MT0",1158,"Congressional District",115.8
"245","NC1",306,"Congressional District",30.6
"246","NC10",687,"Congressional District",68.7
"247","NC11",812,"Congressional District",81.2
"248","NC12",109,"Congressional District",10.9
"249","NC13",449,"Congressional District",44.9
"250","NC3",701,"Congressional District",70.1
"251","NC4",229,"Congressional District",22.9
"252","NC5",479,"Congressional District",47.9
"253","NC6",361,"Congressional District",36.1
"254","NC7",585,"Congressional District",58.5
"255","NC8",865,"Congressional District",86.5
"256","NC9",442,"Congressional District",44.2
"257","NE1",1546,"Congressional District",154.6
"258","NE2",1179,"Congressional District",117.9
"259","NE3",1421,"Congressional District",142.1
"260","NH1",261,"Congressional District",26.1
"261","NH2",365,"Congressional District",36.5
"262","NJ1",1653,"Congressional District",165.3
"263","NJ10",1497,"Congressional District",149.7
"264","NJ11",1340,"Congressional District",134
"265","NJ12",1182,"Congressional District",118.2
"266","NJ2",1461,"Congressional District",146.1
"267","NJ3",1057,"Congressional District",105.7
"268","NJ4",1103,"Congressional District",110.3
"269","NJ5",1119,"Congressional District",111.9
"270","NJ6",1812,"Congressional District",181.2
"271","NJ7",1259,"Congressional District",125.9
"272","NJ9",1697,"Congressional District",169.7
"273","NM1",136,"Congressional District",13.6
"274","NM2",278,"Congressional District",27.8
"275","NM3",824,"Congressional District",82.4
"276","NV1",31,"Congressional District",3.1
"277","NV2",76,"Congressional District",7.6
"278","NV3",12,"Congressional District",1.2
"279","NV4",11,"Congressional District",1.1
"280","NY1",2606,"Congressional District",260.6
"281","NY10",1160,"Congressional District",116
"282","NY11",2306,"Congressional District",230.6
"283","NY12",3563,"Congressional District",356.3
"284","NY13",11833,"Congressional District",1183.3
"285","NY14",3507,"Congressional District",350.7
"286","NY15",6675,"Congressional District",667.5
"287","NY16",3882,"Congressional District",388.2
"288","NY17",2401,"Congressional District",240.1
"289","NY18",2703,"Congressional District",270.3
"290","NY19",3114,"Congressional District",311.4
"291","NY2",3076,"Congressional District",307.6
"292","NY20",2845,"Congressional District",284.5
"293","NY21",3337,"Congressional District",333.7
"294","NY22",2456,"Congressional District",245.6
"295","NY24",2571,"Congressional District",257.1
"296","NY25",1440,"Congressional District",144
"297","NY26",2575,"Congressional District",257.5
"298","NY27",2822,"Congressional District",282.2
"299","NY3",1841,"Congressional District",184.1
"300","NY4",3404,"Congressional District",340.4
"301","NY5",4706,"Congressional District",470.6
"302","NY6",2000,"Congressional District",200
"303","NY7",2913,"Congressional District",291.3
"304","NY8",4826,"Congressional District",482.6
"305","NY9",23500,"Congressional District",2350
"306","OH1",3147,"Congressional District",314.7
"307","OH10",1961,"Congressional District",196.1
"308","OH11",1609,"Congressional District",160.9
"309","OH12",3754,"Congressional District",375.4
"310","OH13",5641,"Congressional District",564.1
"311","OH14",4103,"Congressional District",410.3
"312","OH15",4872,"Congressional District",487.2
"313","OH16",4528,"Congressional District",452.8
"314","OH2",2865,"Congressional District",286.5
"315","OH3",1159,"Congressional District",115.9
"316","OH4",3426,"Congressional District",342.6
"317","OH5",3728,"Congressional District",372.8
"318","OH6",3314,"Congressional District",331.4
"319","OH8",2608,"Congressional District",260.8
"320","OH9",2420,"Congressional District",242
"321","OK1",5832,"Congressional District",583.2
"322","OK2",5503,"Congressional District",550.3
"323","OK3",4017,"Congressional District",401.7
"324","OK4",3169,"Congressional District",316.9
"325","OK5",4619,"Congressional District",461.9
"326","OR1",88,"Congressional District",8.8
"327","OR2",384,"Congressional District",38.4
"328","OR3",97,"Congressional District",9.7
"329","OR4",225,"Congressional District",22.5
"330","OR5",112,"Congressional District",11.2
"331","PA1",710,"Congressional District",71
"332","PA10",1034,"Congressional District",103.4
"333","PA11",717,"Congressional District",71.7
"334","PA12",835,"Congressional District",83.5
"335","PA13",286,"Congressional District",28.6
"336","PA14",775,"Congressional District",77.5
"337","PA15",1294,"Congressional District",129.4
"338","PA16",817,"Congressional District",81.7
"339","PA17",1185,"Congressional District",118.5
"340","PA18",816,"Congressional District",81.6
"341","PA2",117,"Congressional District",11.7
"342","PA3",520,"Congressional District",52
"343","PA5",591,"Congressional District",59.1
"344","PA6",488,"Congressional District",48.8
"345","PA7",1120,"Congressional District",112
"346","PA8",1603,"Congressional District",160.3
"347","PA9",533,"Congressional District",53.3
"348","PR0",8977,"Congressional District",897.7
"349","RI1",1218,"Congressional District",121.8
"350","RI2",1425,"Congressional District",142.5
"351","SC1",496,"Congressional District",49.6
"352","SC2",1429,"Congressional District",142.9
"353","SC3",1409,"Congressional District",140.9
"354","SC4",236,"Congressional District",23.6
"355","SC5",1081,"Congressional District",108.1
"356","SC6",1320,"Congressional District",132
"357","SC7",1617,"Congressional District",161.7
"358","TN1",327,"Congressional District",32.7
"359","TN2",226,"Congressional District",22.6
"360","TN3",338,"Congressional District",33.8
"361","TN4",329,"Congressional District",32.9
"362","TN5",134,"Congressional District",13.4
"363","TN6",370,"Congressional District",37
"364","TN7",561,"Congressional District",56.1
"365","TN8",651,"Congressional District",65.1
"366","TX1",1006,"Congressional District",100.6
"367","TX10",225,"Congressional District",22.5
"368","TX11",368,"Congressional District",36.8
"369","TX12",153,"Congressional District",15.3
"370","TX13",483,"Congressional District",48.3
"371","TX14",750,"Congressional District",75
"372","TX15",364,"Congressional District",36.4
"373","TX16",62,"Congressional District",6.2
"374","TX17",402,"Congressional District",40.2
"375","TX18",234,"Congressional District",23.4
"376","TX19",108,"Congressional District",10.8
"377","TX2",249,"Congressional District",24.9
"378","TX20",10,"Congressional District",1
"379","TX21",75,"Congressional District",7.5
"380","TX22",193,"Congressional District",19.3
"381","TX23",265,"Congressional District",26.5
"382","TX24",4,"Congressional District",0.4
"383","TX25",353,"Congressional District",35.3
"384","TX26",175,"Congressional District",17.5
"385","TX27",808,"Congressional District",80.8
"386","TX28",321,"Congressional District",32.1
"387","TX29",431,"Congressional District",43.1
"388","TX3",37,"Congressional District",3.7
"389","TX31",166,"Congressional District",16.6
"390","TX32",141,"Congressional District",14.1
"391","TX33",19,"Congressional District",1.9
"392","TX34",566,"Congressional District",56.6
"393","TX35",54,"Congressional District",5.4
"394","TX36",877,"Congressional District",87.7
"395","TX4",959,"Congressional District",95.9
"396","TX5",428,"Congressional District",42.8
"397","TX6",193,"Congressional District",19.3
"398","TX7",371,"Congressional District",37.1
"399","TX8",422,"Congressional District",42.2
"400","TX9",91,"Congressional District",9.1
"401","UT1",116,"Congressional District",11.6
"402","UT2",63,"Congressional District",6.3
"403","UT3",74,"Congressional District",7.4
"404","UT4",62,"Congressional District",6.2
"405","VA1",643,"Congressional District",64.3
"406","VA10",382,"Congressional District",38.2
"407","VA11",673,"Congressional District",67.3
"408","VA2",1376,"Congressional District",137.6
"409","VA3",970,"Congressional District",97
"410","VA4",708,"Congressional District",70.8
"411","VA6",345,"Congressional District",34.5
"412","VA7",339,"Congressional District",33.9
"413","VA8",845,"Congressional District",84.5
"414","VA9",356,"Congressional District",35.6
"415","VI0",6939,"Congressional District",693.9
"416","WA1",6464,"Congressional District",646.4
"417","WA10",6759,"Congressional District",675.9
"418","WA2",6883,"Congressional District",688.3
"419","WA3",9300,"Congressional District",930
"420","WA4",7873,"Congressional District",787.3
"421","WA5",10159,"Congressional District",1015.9
"422","WA6",7873,"Congressional District",787.3
"423","WA7",7876,"Congressional District",787.6
"424","WA8",8222,"Congressional District",822.2
"425","WA9",10785,"Congressional District",1078.5
"426","WI1",397,"Congressional District",39.7
"427","WI2",682,"Congressional District",68.2
"428","WI3",954,"Congressional District",95.4
"429","WI4",1692,"Congressional District",169.2
"430","WI5",767,"Congressional District",76.7
"431","WI6",621,"Congressional District",62.1
"432","WI7",1067,"Congressional District",106.7
"433","WI8",514,"Congressional District",51.4
"434","WV1",1673,"Congressional District",167.3
"435","WV2",1535,"Congressional District",153.5
"436","WV3",2577,"Congressional District",257.7
"437","WY0",1073,"Congressional District",107.3
